job_uid,skill_raw,skill_normalized,skill_source
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,POP,pop,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Decision-making,decision-making,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Testing,testing,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Data Management,data management,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Distribution,distribution,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Data Analysis,data analysis,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Database,database,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Mentorship,mentorship,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Coaching,coaching,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Clarity,clarity,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Regulatory Reporting,regulatory reporting,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Project Documentation,project documentation,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Service Level,service level,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Enterprise Information Management,enterprise information management,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Strategic Analysis,strategic analysis,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Financial Analysis,financial analysis,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Interfaces,interfaces,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Team Leadership,team leadership,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Microsoft Excel,microsoft excel,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,SQL,sql,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Microsoft Power BI,microsoft power bi,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Reporting,reporting,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,RDBMS,rdbms,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Software Development Methodology,software development methodology,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Finance,finance,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Economics,economics,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Mathematics,mathematics,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Computer Science,computer science,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Information Systems,information systems,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Supervision,supervision,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Program Evaluation,program evaluation,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Management,management,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Python,python,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,PySpark,pyspark,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Communication,communication,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Presentations,presentations,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Analytics,analytics,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Intranet,intranet,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Health Care,health care,skills
dice_f0ac8256-2fb1-4c82-8bd0-5b834432dcb2,Access Control,access control,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,ICE,ice,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,Insurance,insurance,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,Life Insurance,life insurance,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,Testing,testing,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,Mechanical Engineering,mechanical engineering,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,Schematics,schematics,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,Policies and Procedures,policies and procedures,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,Repair,repair,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,English,english,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,Electrical Engineering,electrical engineering,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,SAP,sap,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,Maintenance Management,maintenance management,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,CMMS,cmms,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,Distribution,distribution,skills
dice_94986c43-7d05-4e2f-ab78-f6765ebc1232,SAFE,safe,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Innovation,innovation,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Software Engineering,software engineering,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Switches,switches,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Prototyping,prototyping,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Interfaces,interfaces,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Mobile Payments,mobile payments,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Apache Velocity,apache velocity,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,React Native,react native,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Change Request Management,change request management,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Node.js,node.js,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Customer Service,customer service,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Expect,expect,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Consumer Goods,consumer goods,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,FOCUS,focus,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Scalability,scalability,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Optimization,optimization,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Large Language Models (LLMs),large language models (llms),skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Research,research,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Publications,publications,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Python,python,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,TypeScript,typescript,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Software Development,software development,skills
dice_30ec53d9-b49c-41d0-88bf-f42e6a788a59,Agile,agile,skills
